quine	time	sincelast
543	501653.944	278.482
544	501687.863	33.919
545	502438.196	750.333
546	508364.143	5925.947
547	510136.652	1772.509
548	514878.329	4741.677
549	516427.359	1549.03
550	517300.76	873.401
551	522879.275	5578.515
552	523210.08	330.805
553	524567.747	1357.667
554	525634.2949999999	1066.548
555	530581.74	4947.445
556	538022.8200000001	7441.08
557	538230.334	207.514
558	538955.732	725.398
559	540307.719	1351.987
560	541067.226	759.507
561	546553.964	5486.738
562	546750.7	196.736
563	546990.077	239.377
564	550190.224	3200.147
565	562030.804	11840.58
566	565737.978	3707.174
567	569478.815	3740.837
568	570229.526	750.711
569	576974.518	6744.992
570	585483.636	8509.118
571	585739.484	255.848
572	588083.211	2343.727
573	590107.973	2024.762
574	590978.325	870.352
575	593018.399	2040.074
576	593254.731	236.332
577	604827.971	11573.24
578	605034.774	206.803
579	611963.571	6928.797
580	621476.238	9512.667
581	621509.289	33.051
582	622312.917	803.628
583	622733.559	420.642
584	623325.004	591.4449999999999
585	624175.663	850.659
586	628139.6	3963.937
587	628379.639	240.039
588	628706.99	327.351
589	631391.259	2684.269
590	634940.467	3549.208
591	635024.664	84.197
592	637852.961	2828.297
593	645282.0449999999	7429.084
594	646084.717	802.672
595	650467.957	4383.24
596	653201.568	2733.611
597	660626.177	7424.609
598	664404.345	3778.168
599	667870.793	3466.448
600	668678.713	807.92
601	673164.889	4486.176
602	675733.131	2568.242
603	676250.296	517.165
604	678163.967	1913.671
605	680030.112	1866.145
606	680954.182	924.07
607	685791.394	4837.212
608	686529.759	738.365
609	687153.91	624.151
610	690659.676	3505.766
611	696978.09	6318.414
612	698155.417	1177.327
613	698440.454	285.037
614	701068.551	2628.097
615	705354.019	4285.468
616	706271.12	917.101
617	708769.895	2498.775
618	710064.445	1294.55
619	714175.186	4110.741
620	715063.243	888.057
621	721599.228	6535.985
622	721859.698	260.47
623	722792.789	933.091
624	723560.266	767.477
625	728494.466	4934.2
626	730360.132	1865.666
627	735675.865	5315.733
628	739896.115	4220.25
629	741997.511	2101.396
630	742426.845	429.334
631	743015.989	589.144
632	746688.535	3672.546
633	747701.5	1012.965
634	747992.269	290.769
635	753173.778	5181.509
636	758125.118	4951.34
637	758987.054	861.936
638	759199.63	212.576
639	759543.706	344.076
640	760360.518	816.812
641	763791.463	3430.945
642	766354.183	2562.7200000000003
643	769530.785	3176.602
644	771960.947	2430.162
645	772941.686	980.739
646	775450.4	2508.714
647	776632.133	1181.733
648	776840.785	208.652
649	777487.233	646.448
650	779578.724	2091.491
651	779694.554	115.83
652	779884.854	190.3
653	783367.925	3483.071
654	784588.362	1220.437
655	787864.077	3275.715
656	790361.55	2497.473
657	793878.122	3516.572
658	797767.741	3889.619
659	799392.081	1624.34
660	801924.669	2532.588
661	804597.31	2672.641
662	804769.5	172.19
663	804831.826	62.326
664	806869.184	2037.358
665	807819.359	950.175
666	807921.431	102.072
667	809941.371	2019.94
668	816031.416	6090.045
669	816230.867	199.451
670	819313.077	3082.21
671	824106.124	4793.047
672	825870.989	1764.865
673	826583.049	712.06
674	826900.441	317.392
675	829515.461	2615.02
676	829665.216	149.755
677	829825.078	159.862
678	832285.268	2460.19
679	833272.89	987.622
680	835932.015	2659.125
681	841697.562	5765.547
682	841761.384	63.822
683	844587.923	2826.539
684	845090.315	502.392
685	847250.574	2160.259
686	849743.626	2493.052
687	851696.81	1953.184
688	852100.861	404.051
689	854754.15	2653.289
690	869721.641	14967.491
691	869751.953	30.312
692	870745.484	993.531
693	871440.657	695.173
694	871996.422	555.765
695	875155.167	3158.745
696	880115.383	4960.216
697	880287.426	172.043
698	880636.027	348.601
699	883884.061	3248.034
700	889917.16	6033.099
701	893024.449	3107.289
702	893068.792	44.343
703	894281.775	1212.983
704	896532.485	2250.71
705	897900.291	1367.806
706	900362.783	2462.492
707	900787.304	424.521
708	901824.855	1037.551
709	902130.537	305.682
710	902687.639	557.102
711	902791.544	103.905
712	902971.685	180.141
713	903219.146	247.461
714	903843.995	624.849
715	903879.77	35.775
716	904084.338	204.568
717	904161.59	77.252
718	904628.16	466.57
719	905044.377	416.217
720	905234.489	190.112
721	911820.852	6586.363
722	912976.489	1155.637
723	914949.05	1972.561
724	915439.072	490.022
725	917409.047	1969.975
726	919418.747	2009.7
727	922191.252	2772.505
728	926474.392	4283.139999999999
729	931605.735	5131.343
730	936046.054	4440.319
731	940595.692	4549.638
732	942854.117	2258.425
733	944021.084	1166.967
734	953238.398	9217.314
735	955649.949	2411.551
736	963296.786	7646.837
737	966822.712	3525.926
738	967296.606	473.894
