quine	time	sincelast
475	15787999.67	117144.157
476	15789305.042	1305.372
477	15813322.758	24017.716
478	15834404.867	21082.109
479	16047037.562	212632.695
480	16090156.735	43119.173
481	16135950.35	45793.615
482	16158719.826	22769.476
483	16199575.393	40855.567
484	16353477.178	153901.785
485	16475732.412	122255.234
486	16538729.981	62997.569
487	16589130.338	50400.357
488	16630401.575	41271.237
489	16632245.905	1844.33
490	16680014.611	47768.706
491	16680500.95	486.339
492	16885441.792	204940.842
493	16987464.411	102022.619
494	17239378.976	251914.565
495	17264847.079	25468.103
496	17270968.582	6121.503
497	17285627.352	14658.77
498	17298129.095	12501.743
499	17300894.086	2764.991
500	17442290.619	141396.533
501	17489355.025	47064.406
502	17494604.939999998	5249.915
503	17519106.982	24502.042
504	17519729.026	622.044
505	17564538.528	44809.502
506	17590526.41	25987.882
507	17597023.657	6497.247
508	17645854.978	48831.321
509	17671068.554	25213.576
510	17716700.075	45631.521
511	17720806.586	4106.511
512	17753338.369999997	32531.784
513	17754564.666	1226.296
514	17955709.369	201144.703
515	17959911.917	4202.548
516	18110511.569	150599.652
517	18303903.363	193391.794
518	18487168.837	183265.474
519	18590428.957	103260.12
520	18709362.561	118933.604
521	18733172.064	23809.503
522	18843133.441	109961.377
523	18886822.568	43689.127
524	18936317.051	49494.483
525	18963791.388	27474.337
526	18969818.876	6027.488
527	18972057.016	2238.1400000000003
528	18995623.744999997	23566.729
529	18998413.602	2789.857
530	19021895.873	23482.271
531	19048064.794	26168.921
532	19360940.904	312876.11
533	19380486.41	19545.506
534	19436733.574	56247.164
535	19500061.36	63327.786
536	19550964.228	50902.868
537	19639724.624	88760.396
538	19810059.07	170334.446
539	19894573.914	84514.844
540	19984722.944	90149.03
541	20049681.772	64958.828
542	20091080.714	41398.942
543	20327214.461	236133.747
544	20453659.368	126444.907
545	20484027.601	30368.233
546	20575098.509	91070.908
547	20712712.155	137613.646
548	20946878.411	234166.256
549	21525189.761	578311.35
550	21705928.821	180739.06
551	22144037.428	438108.607
552	22152573.316	8535.888
553	22189699.286	37125.97
554	22274792.899	85093.613
555	22367779.614	92986.715
556	22741737.763	373958.149
557	23041795.37	300057.607
558	23226308.815	184513.445
559	23263948.2	37639.384999999995
560	23287060.173	23111.973
561	23341265.306	54205.133
562	23540431.589	199166.283
563	23642380.889	101949.3
564	23707651.407	65270.518
565	23794963.518	87312.111
566	24297998.818	503035.3
567	24748697.727	450698.909
568	24867149.42	118451.693
569	24902132.606	34983.186
570	25079271.947	177139.341
571	25097362.92	18090.973
572	25220361.522	122998.602
573	25260372.159	40010.637
574	25405072.715	144700.556
575	25476481.3	71408.58499999999
576	25489227.967	12746.667
577	25529221.304	39993.337
578	25590353.044	61131.74
579	25594254.112	3901.068
580	26051727.636	457473.524
581	26070216.964	18489.328
582	26092778.412	22561.448
583	26124331.679	31553.267
584	26247975.808	123644.129
585	26263599.623	15623.815
586	26304081.093	40481.47
587	26308849.972	4768.879
588	26364202.716	55352.744
589	26447071.468	82868.752
590	26587997.559	140926.091
591	26707477.822	119480.263
592	26774315.597	66837.775
593	26787523.829	13208.232
594	26815415.608	27891.779
595	26841419.805	26004.197
596	26987628.839	146209.034
597	27079791.966	92163.127
598	27415573.781	335781.815
599	27457451.753	41877.972
600	27597791.152	140339.399
601	27798244.858	200453.706
602	27844593.837	46348.979
603	29019474.972	1174881.135
604	29543053.076	523578.104
605	29550861.694	7808.618
606	29556900.529	6038.835
607	29669803.101	112902.572
608	29698861.616	29058.515
609	29824331.914	125470.298
610	29844077.474	19745.559999999998
611	30046778.849	202701.375
612	30090378.011	43599.162
613	30111594.83	21216.819
614	30189242.919	77648.089
615	30653367.679	464124.76
616	30687808.333	34440.654
617	30832741.529	144933.196
618	30889715.125	56973.596
619	30949711.938	59996.813
620	30952579.52	2867.582
621	31190206.189	237626.669
622	31250478.217	60272.028
623	31270433.313	19955.096
624	31811134.664	540701.351
625	32506712.633	695577.969
626	32871488.989	364776.356
627	32917135.495	45646.506
628	33052757.526	135622.031
629	33054640.982	1883.456
630	33667493.473000005	612852.491
631	33788995.654	121502.181
632	33789517.525	521.871
633	34416835.823	627318.298
634	34453227.341	36391.518
635	34781197.131	327969.79000000004
636	34997778.592	216581.461
637	35627407.711	629629.119
638	35811526.803	184119.092
639	35870631.31	59104.507
640	36469220.311	598589.001
641	36522992.455	53772.144
642	36540241.010000005	17248.555
643	36560228.003	19986.993
644	36906006.522	345778.519
645	36914199.7	8193.178
646	37202033.869	287834.169
647	37533226.501	331192.632
648	37574785.28	41558.779
649	37758321.793	183536.513
650	37905351.771	147029.978
651	37933062.821	27711.05
652	38012956.206	79893.38500000001
653	38317105.039	304148.833
654	38365737.941	48632.902
655	38455232.186	89494.245
656	38512637.489999995	57405.304
657	38523019.877	10382.387
658	38838493.548	315473.671
659	38875920.185	37426.637
660	39083104.32	207184.135
661	39088087.286	4982.966
662	39218357.929	130270.643
663	39299150.654	80792.725
664	39364231.487	65080.833
665	39404308.956	40077.469
666	39510964.716	106655.76
667	39801722.575	290757.859
668	39840708.939	38986.364
669	40019780.442	179071.503
670	40058470.872	38690.43
671	40339296.259	280825.387
672	40358483.961	19187.702
673	41014119.22	655635.259
674	41206700.823	192581.603
675	41443694.206	236993.383
676	41460274.033	16579.826999999997
677	41474749.739999995	14475.707
678	42805405.103	1330655.363
679	42906176.443	100771.34
680	42958680.63	52504.187
